Time (sec)	Arena	Track	Pos. X (mm)	Pos. Y (mm)	Label
12.2585	1	1	619.288	443.639	1
12.292	1	1	619.289	442.761	1
12.3255	1	1	619.092	441.305	1
12.359	1	1	618.687	439.011	1
12.3925	1	1	618.113	435.219	1
12.426	1	1	616.761	430.545	1
12.4595	1	1	615.392	426.411	1
12.493	1	1	615.337	423.507	1
12.5265	1	1	615.606	419.358	1
12.56	1	1	614.842	415.383	1
12.5935	1	1	614.432	411.849	1
12.6269	1	1	614.331	408.299	1
12.6604	1	1	613.643	404.993	1
12.6939	1	1	613.277	402.935	1
12.7274	1	1	612.896	401.706	1
12.7609	1	1	612.504	400.019	1
12.7944	1	1	612.392	398.853	1
12.8279	1	1	612.578	398.424	1
12.8614	1	1	612.825	398.477	1
12.8949	1	1	613.061	398.975	1
12.9284	1	1	613.367	399.217	1
12.9619	1	1	613.553	399.452	1
12.9954	1	1	613.779	399.475	1
13.0289	1	1	613.968	399.641	1
13.0624	1	1	614.492	399.961	1
13.0958	1	1	614.473	399.898	1
13.1293	1	1	614.591	400.181	1
13.1628	1	1	614.656	400.204	1
13.1963	1	1	614.657	400.159	1
13.2298	1	1	614.77	400.084	1
13.2633	1	1	614.637	400.1	1
13.2968	1	1	614.5	400.119	1
13.3303	1	1	614.616	400.215	1
13.3638	1	1	614.439	400.052	1
13.3973	1	1	613.363	398.727	1
13.4308	1	1	612.448	397.085	1
13.4643	1	1	611.969	395.688	1
13.4978	1	1	611.735	394.225	1
13.5313	1	1	611.429	393.398	1
13.5648	1	1	611.354	393.027	1
13.5982	1	1	610.937	393.76	1
13.6317	1	1	610.525	394.101	1
13.6652	1	1	610.344	394.611	1
13.6987	1	1	609.977	395.292	1
13.7322	1	1	609.167	396.502	1
13.7657	1	1	608.25	397.813	1
13.7992	1	1	607.272	398.288	1
13.8327	1	1	606.083	398.84	1
13.8662	1	1	605.389	399.63	1
13.8997	1	1	604.381	400.511	1
13.9332	1	1	603.863	400.607	1
13.9667	1	1	602.261	400.429	1
14.0002	1	1	601.296	400.631	1
14.0337	1	1	600.497	401.608	1
14.0672	1	1	599.141	402.331	1
14.1006	1	1	597.675	402.351	1
14.1341	1	1	595.38	402.536	1
14.1676	1	1	593.711	402.45	1
14.2011	1	1	591.72	402.385	1
14.2346	1	1	590.502	402.129	1
14.2681	1	1	589.031	401.736	1
14.3016	1	1	589.376	401.124	1
14.3351	1	1	589.312	400.813	1
14.3686	1	1	590.937	400.412	1
14.4021	1	1	593.793	399.416	1
14.4356	1	1	595.241	397.885	1
14.4691	1	1	597.845	395.608	1
14.5026	1	1	601.627	392.012	1
14.5361	1	1	604.995	387.693	1
14.5696	1	1	608.683	383.05	1
14.603	1	1	611.423	378.392	1
14.6365	1	1	613.195	376.113	1
14.67	1	1	613.694	375.454	1
14.7035	1	1	613.737	374.564	1
14.737	1	1	615.911	372.123	1
14.7705	1	1	617.168	370.072	1
14.804	1	1	618.281	367.409	1
14.8375	1	1	618.847	364.846	1
14.871	1	1	619.164	363.747	1
14.9045	1	1	620.089	363.305	1
14.938	1	1	621.022	363.098	1
14.9715	1	1	621.143	363.38	1
15.005	1	1	622.114	361.606	1
15.0385	1	1	623.301	360.532	1
15.0719	1	1	625.108	360.341	1
15.1054	1	1	626.453	360.375	1
15.1389	1	1	628.676	360.817	1
15.1724	1	1	631.324	361.668	1
15.2059	1	1	634.044	362.237	1
15.2394	1	1	636.778	363.074	1
15.2729	1	1	638.877	363.705	1
15.3064	1	1	640.446	364.025	1
15.3399	1	1	640.387	363.098	1
15.3734	1	1	640.521	362.423	1
15.4069	1	1	640.616	362.149	1
15.4404	1	1	639.189	360.916	1
15.4739	1	1	638.04	359.178	1
15.5074	1	1	637.314	358.11	1
15.5409	1	1	636.597	357.292	1
15.5743	1	1	635.897	356.436	1
15.6078	1	1	632.781	355.248	1
15.6413	1	1	631.467	353.941	1
15.6748	1	1	631.882	353.043	1
15.7083	1	1	631.124	352.687	1
15.7418	1	1	630.709	352.043	1
15.7753	1	1	630.541	351.343	1
15.8088	1	1	631.053	350.189	1
15.8423	1	1	632.554	348.878	1
15.8758	1	1	634.399	347.469	1
15.9093	1	1	637.609	345.941	1
15.9428	1	1	641.588	343.847	1
15.9763	1	1	645.746	341.737	1
16.0098	1	1	649.478	339.904	1
