Frame Count
	50mm	100mm	150mm	200mm	250mm	300mm	350mm	400mm	450mm	500mm	550mm	600mm	650mm	700mm	750mm	800mm	850mm	900mm	950mm	1000mm	1050mm	1100mm	1150mm	1200mm	1250mm	1300mm	1350mm	1400mm	1450mm	1500mm	
Edge N	1359	4133	1070	1065	1965	1256	1102	1480	2636	1745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Edge W	4629	1497	1114	851	882	508	576	2531	5223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Edge S	3067	1614	1448	1041	1472	1891	1008	1444	4535	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Edge E	81	5952	1822	556	578	821	920	1164	1925	3992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Edge ALL	8466	7568	1107	598	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

Time Count (sec)
	50mm	100mm	150mm	200mm	250mm	300mm	350mm	400mm	450mm	500mm	550mm	600mm	650mm	700mm	750mm	800mm	850mm	900mm	950mm	1000mm	1050mm	1100mm	1150mm	1200mm	1250mm	1300mm	1350mm	1400mm	1450mm	1500mm	
Edge N	45.5173	138.427	35.8377	35.6703	65.8142	42.0675	36.9095	49.57	88.2881	58.4457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Edge W	155.04	50.1394	37.3115	28.5027	29.541	17.0146	19.2921	84.7713	174.935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Edge S	102.724	54.0581	48.4982	34.8664	49.302	63.3357	33.7612	48.3642	151.892	9.74653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Edge E	2.71295	199.352	61.0247	18.6222	19.3591	27.4979	30.8138	38.9861	64.4745	133.705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Edge ALL	283.554	253.477	37.077	20.0289	2.41151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

Frequency (Zone Detections/Total Detections)
	50mm	100mm	150mm	200mm	250mm	300mm	350mm	400mm	450mm	500mm	550mm	600mm	650mm	700mm	750mm	800mm	850mm	900mm	950mm	1000mm	1050mm	1100mm	1150mm	1200mm	1250mm	1300mm	1350mm	1400mm	1450mm	1500mm	
Edge N	0.0763012	0.232048	0.0600752	0.0597945	0.110325	0.0705182	0.0618719	0.0830947	0.147998	0.0979732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Edge W	0.259896	0.0840492	0.0625456	0.0477795	0.04952	0.0285217	0.0323396	0.142103	0.293246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Edge S	0.172197	0.0906182	0.0812981	0.058447	0.0826456	0.10617	0.0565942	0.0810735	0.254618	0.0163382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Edge E	0.00454775	0.334175	0.102296	0.0312167	0.0324519	0.0460951	0.0516535	0.0653529	0.108079	0.224131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Edge ALL	0.475324	0.424906	0.0621526	0.0335748	0.00404245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

