Time (sec)	Arena	Track	Current Speed (mm/sec)	
12.1915	2	1	28.6997
12.225	2	1	36.7257
12.2585	2	1	46.6829
12.292	2	1	54.4859
12.3255	2	1	59.5334
12.359	2	1	66.2597
12.3925	2	1	72.6546
12.426	2	1	74.4497
12.4595	2	1	74.074
12.493	2	1	71.2798
12.5265	2	1	67.0605
12.56	2	1	58.6714
12.5935	2	1	37.9784
12.6269	2	1	18.3748
12.6604	2	1	3.73929
12.6939	2	1	9.47204
12.7274	2	1	13.9912
12.7609	2	1	21.7658
12.7944	2	1	28.2481
12.8279	2	1	33.45
12.8614	2	1	45.1448
12.8949	2	1	58.1466
12.9284	2	1	64.6235
12.9619	2	1	72.811
12.9954	2	1	82.8361
13.0289	2	1	95.708
13.0624	2	1	108.558
13.0958	2	1	113.284
13.1293	2	1	116.911
13.1628	2	1	123.614
13.1963	2	1	125.247
13.2298	2	1	118.435
13.2633	2	1	106.946
13.2968	2	1	98.7546
13.3303	2	1	91.9604
13.3638	2	1	86.3417
13.3973	2	1	80.9143
13.4308	2	1	74.6898
13.4643	2	1	62.9005
13.4978	2	1	58.8298
13.5313	2	1	56.7054
13.5648	2	1	49.7288
13.5982	2	1	49.429
13.6317	2	1	56.7512
13.6652	2	1	66.4845
13.6987	2	1	67.137
13.7322	2	1	76.1469
13.7657	2	1	85.1897
13.7992	2	1	95.9902
13.8327	2	1	99.0319
13.8662	2	1	106.755
13.8997	2	1	115.859
13.9332	2	1	119.036
13.9667	2	1	117.183
14.0002	2	1	105.924
14.0337	2	1	90.7372
14.0672	2	1	71.6378
14.1006	2	1	62.4594
14.1341	2	1	48.9504
14.1676	2	1	34.4421
14.2011	2	1	18.3004
14.2346	2	1	6.05528
14.2681	2	1	13.9229
14.3016	2	1	39.932
14.3351	2	1	61.8035
14.3686	2	1	73.0817
14.4021	2	1	75.9454
14.4356	2	1	77.2166
14.4691	2	1	72.219
14.5026	2	1	67.4998
14.5361	2	1	66.3024
14.5696	2	1	67.6539
14.603	2	1	70.1878
14.6365	2	1	71.3954
14.67	2	1	71.3315
14.7035	2	1	76.8982
14.737	2	1	82.4401
14.7705	2	1	84.7363
14.804	2	1	88.3853
14.8375	2	1	93.0159
14.871	2	1	95.1689
14.9045	2	1	94.822
14.938	2	1	90.4736
14.9715	2	1	85.8999
15.005	2	1	85.2614
15.0385	2	1	85.0049
15.0719	2	1	85.6439
15.1054	2	1	81.9998
15.1389	2	1	81.8883
15.1724	2	1	84.5649
15.2059	2	1	82.5194
15.2394	2	1	78.5599
15.2729	2	1	73.9929
15.3064	2	1	64.3463
15.3399	2	1	52.1563
15.3734	2	1	42.4113
15.4069	2	1	35.1568
15.4404	2	1	31.4868
15.4739	2	1	29.5463
15.5074	2	1	30.7659
15.5409	2	1	33.3736
15.5743	2	1	41.9334
15.6078	2	1	48.373
15.6413	2	1	56.1678
15.6748	2	1	60.7288
15.7083	2	1	63.9911
15.7418	2	1	70.2346
15.7753	2	1	68.9037
15.8088	2	1	61.5402
15.8423	2	1	54.5123
15.8758	2	1	39.3487
15.9093	2	1	20.2328
15.9428	2	1	21.8084
15.9763	2	1	49.5691
16.0098	2	1	73.3896
16.0433	2	1	89.8785
16.0767	2	1	95.2957
16.1102	2	1	97.8374
16.1437	2	1	98.9616
16.1772	2	1	94.0317
16.2107	2	1	86.3583
16.2442	2	1	82.8057
16.2777	2	1	73.2193
16.3112	2	1	67.8099
16.3447	2	1	75.5462
16.3782	2	1	90.6565
16.4117	2	1	106.099
16.4452	2	1	121.912
16.4787	2	1	129.521
16.5122	2	1	134.653
16.5457	2	1	137.694
16.5791	2	1	143.273
16.6126	2	1	148.283
16.6461	2	1	147.675
16.6796	2	1	142.255
16.7131	2	1	137.786
16.7466	2	1	130.88
16.7801	2	1	127.425
16.8136	2	1	125.425
16.8471	2	1	116.634
16.8806	2	1	106.939
16.9141	2	1	94.392
16.9476	2	1	71.2245
16.9811	2	1	53.4524
17.0146	2	1	29.8771
17.048	2	1	14.8445
17.0815	2	1	6.3282
17.115	2	1	7.47319
17.1485	2	1	19.9928
17.182	2	1	28.7978
17.2155	2	1	36.0942
17.249	2	1	41.6753
17.2825	2	1	40.8983
17.316	2	1	40.7093
17.3495	2	1	42.0359
17.383	2	1	48.1961
17.4165	2	1	59.0449
17.45	2	1	73.2096
