Time (sec)	Arena	Track	Current Accel (mm/s^2)	
20.0289	1	1	136.902	
20.0624	1	1	147.786	
20.0959	1	1	150.769	
20.1294	1	1	161.05	
20.1629	1	1	152.325	
20.1964	1	1	111.486	
20.2299	1	1	83.8412	
20.2634	1	1	51.7913	
20.2969	1	1	30.3194	
20.3304	1	1	3.62881	
20.3639	1	1	20.6505	
20.3974	1	1	41.6098	
20.4309	1	1	53.619	
20.4644	1	1	67.4712	
20.4979	1	1	71.5915	
20.5313	1	1	85.1477	
20.5648	1	1	88.5586	
20.5983	1	1	76.6008	
20.6318	1	1	72.9358	
20.6653	1	1	61.9466	
20.6988	1	1	58.5985	
20.7323	1	1	43.6618	
20.7658	1	1	33.3442	
20.7993	1	1	17.8623	
20.8328	1	1	2.67191	
20.8663	1	1	12.872	
20.8998	1	1	22.4741	
20.9333	1	1	28.46	
20.9668	1	1	30.9914	
21.0002	1	1	41.7017	
21.0337	1	1	50.2814	
21.0672	1	1	48.7556	
21.1007	1	1	42.3709	
21.1342	1	1	29.2317	
21.1677	1	1	7.01222	
21.2012	1	1	28.9633	
21.2347	1	1	44.2074	
21.2682	1	1	36.2483	
21.3017	1	1	22.9882	
21.3352	1	1	0.383806	
21.3687	1	1	23.7705	
21.4022	1	1	36.649	
21.4357	1	1	52.7192	
21.4692	1	1	65.5172	
21.5026	1	1	80.8798	
21.5361	1	1	97.4728	
21.5696	1	1	114.972	
21.6031	1	1	132.229	
21.6366	1	1	125.333	
21.6701	1	1	85.2622	
21.7036	1	1	39.5322	
21.7371	1	1	7.53624	
21.7706	1	1	40.5001	
21.8041	1	1	74.8571	
21.8376	1	1	117.172	
21.8711	1	1	146.413	
21.9046	1	1	168.418	
21.9381	1	1	188.854	
21.9716	1	1	185.291	
22.005	1	1	168.709	
22.0385	1	1	152.75	
22.072	1	1	133.982	
22.1055	1	1	116.067	
22.139	1	1	93.9563	
22.1725	1	1	80.4301	
22.206	1	1	65.3738	
22.2395	1	1	46.5492	
22.273	1	1	28.0046	
22.3065	1	1	3.92904	
22.34	1	1	36.4941	
22.3735	1	1	45.5369	
22.407	1	1	53.0188	
22.4405	1	1	61.2628	
22.474	1	1	94.1249	
22.5074	1	1	133.552	
22.5409	1	1	148.168	
22.5744	1	1	160.01	
22.6079	1	1	173.924	
22.6414	1	1	183.594	
22.6749	1	1	180.639	
22.7084	1	1	145.903	
22.7419	1	1	111.197	
22.7754	1	1	91.1665	
22.8089	1	1	58.0254	
22.8424	1	1	27.9119	
22.8759	1	1	26.4536	
22.9094	1	1	70.5443	
22.9429	1	1	72.3399	
22.9763	1	1	70.8932	
23.0098	1	1	69.2706	
23.0433	1	1	64.0281	
23.0768	1	1	53.7319	
23.1103	1	1	32.2611	
23.1438	1	1	20.1537	
23.1773	1	1	10.4015	
23.2108	1	1	4.17942	
23.2443	1	1	11.3558	
23.2778	1	1	25.3589	
23.3113	1	1	24.327	
23.3448	1	1	4.56377	
23.3783	1	1	36.3696	
23.4118	1	1	72.2995	
23.4453	1	1	99.4039	
23.4787	1	1	116.524	
23.5122	1	1	126.186	
23.5457	1	1	121.683	
23.5792	1	1	116.834	
23.6127	1	1	109.584	
23.6462	1	1	97.8958	
23.6797	1	1	86.8868	
23.7132	1	1	68.7253	
23.7467	1	1	37.0392	
23.7802	1	1	0.942445	
23.8137	1	1	43.4005	
23.8472	1	1	83.2556	
23.8807	1	1	120.868	
23.9142	1	1	150.392	
23.9477	1	1	175.169	
23.9811	1	1	201.128	
24.0146	1	1	231.166	
24.0481	1	1	253.049	
24.0816	1	1	257.967	
24.1151	1	1	249.371	
24.1486	1	1	233.438	
24.1821	1	1	214.285	
24.2156	1	1	196.02	
24.2491	1	1	175.226	
24.2826	1	1	167.978	
24.3161	1	1	148.849	
24.3496	1	1	128.782	
24.3831	1	1	107.578	
24.4166	1	1	72.7167	
24.4501	1	1	39.1178	
24.4835	1	1	49.8705	
24.517	1	1	67.1649	
24.5505	1	1	71.6194	
24.584	1	1	83.9741	
24.6175	1	1	79.3611	
24.651	1	1	84.5569	
24.6845	1	1	69.9822	
24.718	1	1	69.2798	
24.7515	1	1	59.8169	
24.785	1	1	41.6828	
24.8185	1	1	52.7965	
24.852	1	1	91.5437	
24.8855	1	1	110.422	
24.919	1	1	122.391	
24.9524	1	1	127.371	
24.9859	1	1	101.803	
25.0194	1	1	99.4492	
25.0529	1	1	83.1982	
25.0864	1	1	77.0912	
25.1199	1	1	78.6374	
25.1534	1	1	105.763	
25.1869	1	1	136.007	
25.2204	1	1	119.617	
25.2539	1	1	74.0037	
25.2874	1	1	9.3558	
25.3209	1	1	30.2056	
25.3544	1	1	45.833	
25.3879	1	1	37.8318	
25.4214	1	1	46.1662	
25.4548	1	1	44.105	
25.4883	1	1	55.6352	
25.5218	1	1	61.7834	
25.5553	1	1	100.212	
25.5888	1	1	150.982	
25.6223	1	1	176.378	
25.6558	1	1	184.588	
25.6893	1	1	172.604	
25.7228	1	1	181.37	
25.7563	1	1	196.091	
25.7898	1	1	214.938	
25.8233	1	1	232.178	
25.8568	1	1	250.18	
25.8903	1	1	266.279	
25.9238	1	1	300.602	
25.9572	1	1	308.844	
25.9907	1	1	286.955	
26.0242	1	1	266.694	
26.0577	1	1	256.851	
26.0912	1	1	251.093	
26.1247	1	1	240.811	
26.1582	1	1	234.15	
26.1917	1	1	192.855	
26.2252	1	1	155.5	
26.2587	1	1	118.234	
26.2922	1	1	81.8713	
26.3257	1	1	31.9173	
26.3592	1	1	6.54735	
26.3927	1	1	19.4095	
26.4262	1	1	31.5851	
26.4596	1	1	43.1611	
26.4931	1	1	57.7556	
26.5266	1	1	75.9788	
26.5601	1	1	90.6343	
26.5936	1	1	72.6634	
