Time (sec)	Arena	Track	Current Accel (mm/s^2)	
12.3925	2	1	23.0862	
12.426	2	1	45.6582	
12.4595	2	1	106.847	
12.493	2	1	111.997	
12.5265	2	1	113.312	
12.56	2	1	110.704	
12.5935	2	1	110.486	
12.6269	2	1	102.01	
12.6604	2	1	71.9777	
12.6939	2	1	32.6763	
12.7274	2	1	6.06356	
12.7609	2	1	35.1802	
12.7944	2	1	111.609	
12.8279	2	1	192.41	
12.8614	2	1	260.796	
12.8949	2	1	258.291	
12.9284	2	1	256.072	
12.9619	2	1	253.405	
12.9954	2	1	241.339	
13.0289	2	1	211.448	
13.0624	2	1	153.765	
13.0958	2	1	101.036	
13.1293	2	1	68.0159	
13.1628	2	1	33.6653	
13.1963	2	1	4.78158	
13.2298	2	1	52.2948	
13.2633	2	1	113.599	
13.2968	2	1	135.485	
13.3303	2	1	149.797	
13.3638	2	1	183.832	
13.3973	2	1	188.64	
13.4308	2	1	153.473	
13.4643	2	1	100.67	
13.4978	2	1	78.6665	
13.5313	2	1	39.345	
13.5648	2	1	2.86629	
13.5982	2	1	37.5098	
13.6317	2	1	60.565	
13.6652	2	1	109.112	
13.6987	2	1	141.892	
13.7322	2	1	155.082	
13.7657	2	1	167.831	
13.7992	2	1	140.563	
13.8327	2	1	84.5593	
13.8662	2	1	12.8216	
13.8997	2	1	11.6382	
13.9332	2	1	67.6666	
13.9667	2	1	126.263	
14.0002	2	1	193.297	
14.0337	2	1	231.332	
14.0672	2	1	230.972	
14.1006	2	1	188.911	
14.1341	2	1	142.398	
14.1676	2	1	109.728	
14.2011	2	1	74.5883	
14.2346	2	1	33.6401	
14.2681	2	1	1.44622	
14.3016	2	1	12.5409	
14.3351	2	1	43.1729	
14.3686	2	1	82.6329	
14.4021	2	1	129.099	
14.4356	2	1	162.571	
14.4691	2	1	142.836	
14.5026	2	1	91.9744	
14.5361	2	1	51.3452	
14.5696	2	1	28.9974	
14.603	2	1	30.9511	
14.6365	2	1	39.3096	
14.67	2	1	57.1009	
14.7035	2	1	67.9794	
14.737	2	1	60.1394	
14.7705	2	1	45.3974	
14.804	2	1	37.5042	
14.8375	2	1	33.8615	
14.871	2	1	35.6102	
14.9045	2	1	12.693	
