Frame Count
	50mm	100mm	150mm	200mm	250mm	300mm	350mm	400mm	450mm	500mm	
50mm	132	85	208	38	78	78	165	467	108	0	
100mm	1282	108	231	259	75	131	257	951	839	0	
150mm	241	21	49	44	123	54	30	152	356	0	
200mm	212	35	22	161	133	26	6	83	387	0	
250mm	1031	316	53	70	50	0	0	66	379	0	
300mm	154	201	95	50	18	9	31	10	688	0	
350mm	232	49	85	56	95	46	0	4	535	0	
400mm	343	98	52	23	135	84	21	135	589	0	
450mm	676	299	103	6	115	21	17	424	975	0	
500mm	325	286	216	144	60	59	49	239	367	0	

Time Count (sec)
	50mm	100mm	150mm	200mm	250mm	300mm	350mm	400mm	450mm	500mm	
50mm	4.42111	2.84692	6.96659	1.27274	2.61247	2.61247	5.52638	15.6413	3.61727	0	
100mm	42.9383	3.61727	7.73693	8.67474	2.51199	4.38761	8.60776	31.8521	28.1008	0	
150mm	8.07187	0.703358	1.64117	1.4737	4.11967	1.80863	1.0048	5.09097	11.9236	0	
200mm	7.10056	1.17226	0.736851	5.39241	4.4546	0.870824	0.200959	2.77994	12.9619	0	
250mm	34.5315	10.5839	1.77514	2.34453	1.67466	0	0	2.21055	12.6939	0	
300mm	5.15796	6.73214	3.18186	1.67466	0.602878	0.301439	1.03829	0.334932	23.0433	0	
350mm	7.77043	1.64117	2.84692	1.87562	3.18186	1.54069	0	0.133973	17.9189	0	
400mm	11.4882	3.28234	1.74165	0.770344	4.52158	2.81343	0.703358	4.52158	19.7275	0	
450mm	22.6414	10.0145	3.4498	0.200959	3.85172	0.703358	0.569385	14.2011	32.6559	0	
500mm	10.8853	9.57906	7.23454	4.82302	2.00959	1.9761	1.64117	8.00488	12.292	0	

Frequency (Zone Detections/Total Detections)
	50mm	100mm	150mm	200mm	250mm	300mm	350mm	400mm	450mm	500mm	
50mm	0.00741115	0.00477233	0.0116782	0.00213351	0.00437932	0.00437932	0.00926394	0.0262198	0.00606367	0	
100mm	0.071978	0.00606367	0.0129695	0.0145416	0.00421088	0.00735501	0.0144293	0.053394	0.0471057	0	
150mm	0.013531	0.00117905	0.00275111	0.00247038	0.00690584	0.00303183	0.00168435	0.00853405	0.0199876	0	
200mm	0.0119028	0.00196508	0.00123519	0.00903936	0.0074673	0.00145977	0.00033687	0.00466004	0.0217281	0	
250mm	0.0578856	0.0177418	0.00297569	0.00393016	0.00280725	0	0	0.00370558	0.021279	0	
300mm	0.00864634	0.0112852	0.00533378	0.00280725	0.00101061	0.000505306	0.0017405	0.000561451	0.0386278	0	
350mm	0.0130257	0.00275111	0.00477233	0.00314412	0.00533378	0.00258267	0	0.00022458	0.0300376	0	
400mm	0.0192578	0.00550222	0.00291954	0.00129134	0.00757959	0.00471619	0.00117905	0.00757959	0.0330695	0	
450mm	0.0379541	0.0167874	0.00578294	0.00033687	0.00645668	0.00117905	0.000954466	0.0238055	0.0547415	0	
500mm	0.0182471	0.0160575	0.0121273	0.00808489	0.0033687	0.00331256	0.00275111	0.0134187	0.0206052	0	

