Time (sec)	Arena	Track	Current Speed (mm/sec)	
19.2586	1	1	22.8246
19.2921	1	1	20.9495
19.3256	1	1	18.0855
19.3591	1	1	19.4313
19.3926	1	1	22.2887
19.4261	1	1	24.6479
19.4596	1	1	22.0303
19.4931	1	1	13.7848
19.5265	1	1	9.76125
19.56	1	1	6.92684
19.5935	1	1	4.04458
19.627	1	1	4.61664
19.6605	1	1	5.4321
19.694	1	1	6.40377
19.7275	1	1	5.10601
19.761	1	1	3.91112
19.7945	1	1	4.4175
19.828	1	1	4.63436
19.8615	1	1	3.34246
19.895	1	1	2.7726
19.9285	1	1	2.47868
19.962	1	1	5.73252
19.9955	1	1	16.9464
20.0289	1	1	25.3003
20.0624	1	1	32.8908
20.0959	1	1	39.3562
20.1294	1	1	44.6138
20.1629	1	1	50.1372
20.1964	1	1	56.1688
20.2299	1	1	59.6578
20.2634	1	1	62.7404
20.2969	1	1	63.3696
20.3304	1	1	67.2078
20.3639	1	1	66.9546
20.3974	1	1	61.7547
20.4309	1	1	58.9976
20.4644	1	1	53.7067
20.4979	1	1	51.5421
20.5313	1	1	46.0723
20.5648	1	1	41.8374
20.5983	1	1	39.4451
20.6318	1	1	38.1073
20.6653	1	1	35.6225
20.6988	1	1	34.5957
20.7323	1	1	32.9853
20.7658	1	1	31.3613
20.7993	1	1	30.9675
20.8328	1	1	29.6834
20.8663	1	1	28.8092
20.8998	1	1	27.9903
20.9333	1	1	28.5237
20.9668	1	1	28.4357
21.0002	1	1	32.2659
21.0337	1	1	37.0335
21.0672	1	1	40.796
21.1007	1	1	43.6284
21.1342	1	1	44.424
21.1677	1	1	43.8173
21.2012	1	1	47.7281
21.2347	1	1	49.8924
21.2682	1	1	48.4051
21.3017	1	1	45.02
21.3352	1	1	40.2724
21.3687	1	1	31.254
21.4022	1	1	20.625
21.4357	1	1	19.2657
21.4692	1	1	26.2272
21.5026	1	1	34.389
21.5361	1	1	44.5782
21.5696	1	1	53.3711
21.6031	1	1	62.4581
21.6366	1	1	71.0813
21.6701	1	1	74.7376
21.7036	1	1	77.5271
21.7371	1	1	79.4486
21.7706	1	1	77.4633
21.8041	1	1	73.7701
21.8376	1	1	69.6392
21.8711	1	1	60.4956
21.9046	1	1	50.2778
21.9381	1	1	41.5493
21.9716	1	1	37.0933
22.005	1	1	32.3715
22.0385	1	1	23.9879
22.072	1	1	15.8917
22.1055	1	1	9.83666
22.139	1	1	3.5448
22.1725	1	1	2.99159
22.206	1	1	5.96274
22.2395	1	1	8.24623
22.273	1	1	6.64568
22.3065	1	1	3.6283
22.34	1	1	3.78632
22.3735	1	1	4.76696
22.407	1	1	6.09655
22.4405	1	1	5.27891
22.474	1	1	4.63616
22.5074	1	1	11.4158
22.5409	1	1	18.2125
22.5744	1	1	21.2937
22.6079	1	1	27.272
22.6414	1	1	32.8689
22.6749	1	1	44.4762
22.7084	1	1	57.3055
22.7419	1	1	63.3378
22.7754	1	1	69.078
22.8089	1	1	75.9998
22.8424	1	1	79.0687
22.8759	1	1	77.2381
22.9094	1	1	70.0569
22.9429	1	1	62.9045
22.9763	1	1	57.9352
23.0098	1	1	50.5934
23.0433	1	1	44.0872
23.0768	1	1	33.844
23.1103	1	1	28.9525
23.1438	1	1	34.263
23.1773	1	1	40.5847
23.2108	1	1	48.1586
23.2443	1	1	53.3346
23.2778	1	1	55.6423
23.3113	1	1	57.0906
23.3448	1	1	54.8043
23.3783	1	1	53.7547
23.4118	1	1	52.2732
23.4453	1	1	48.6513
23.4787	1	1	44.0362
23.5122	1	1	38.7299
23.5457	1	1	32.4288
23.5792	1	1	25.9671
23.6127	1	1	19.1002
23.6462	1	1	13.3823
23.6797	1	1	8.8092
23.7132	1	1	6.37402
23.7467	1	1	5.89773
23.7802	1	1	6.79653
23.8137	1	1	8.22937
23.8472	1	1	9.3052
23.8807	1	1	9.11475
23.9142	1	1	11.108
23.9477	1	1	17.5421
23.9811	1	1	26.3459
24.0146	1	1	36.5436
24.0481	1	1	46.8443
24.0816	1	1	57.3883
24.1151	1	1	66.8194
24.1486	1	1	76.3017
24.1821	1	1	87.6335
24.2156	1	1	101.139
24.2491	1	1	111.01
24.2826	1	1	112.796
24.3161	1	1	111.335
24.3496	1	1	111.365
24.3831	1	1	112.471
24.4166	1	1	115.328
24.4501	1	1	117.271
24.4835	1	1	124.902
24.517	1	1	126.645
24.5505	1	1	128.062
24.584	1	1	130.871
24.6175	1	1	130.365
24.651	1	1	126.732
24.6845	1	1	132.84
24.718	1	1	138.33
24.7515	1	1	140.15
24.785	1	1	146.222
24.8185	1	1	147.225
24.852	1	1	151.256
24.8855	1	1	153.029
24.919	1	1	154.49
24.9524	1	1	152.103
24.9859	1	1	147.624
25.0194	1	1	151.585
25.0529	1	1	163.525
25.0864	1	1	177.221
25.1199	1	1	187.521
25.1534	1	1	191.343
25.1869	1	1	187.138
25.2204	1	1	187.195
25.2539	1	1	184.695
25.2874	1	1	184.014
25.3209	1	1	186.095
25.3544	1	1	194.611
25.3879	1	1	202.288
25.4214	1	1	199.661
25.4548	1	1	193.269
25.4883	1	1	180.981
25.5218	1	1	175.381
25.5553	1	1	172.922
25.5888	1	1	171.933
25.6223	1	1	168.64
25.6558	1	1	166.968
25.6893	1	1	161.653
25.7228	1	1	161.263
25.7563	1	1	154.334
25.7898	1	1	141.605
25.8233	1	1	128.772
25.8568	1	1	119.08
25.8903	1	1	111.608
25.9238	1	1	102.485
25.9572	1	1	94.1093
25.9907	1	1	85.5456
26.0242	1	1	75.3237
26.0577	1	1	66.4164
